N,Flops,s,kind
64,613800000,0.0009216,matrix-matrix
128,655600000,0.0064002,matrix-matrix
256,638400000,0.0525616,matrix-matrix
512,559800000,0.5032862,matrix-matrix
1024,516200000,4.1621604,matrix-matrix
2048,529000000,32.4789572,matrix-matrix
4096,166200000,829.8783406,matrix-matrix
64,540100000,0.00002,matrix-vector
128,551360000,0.0000784,matrix-vector
256,536180000,0.000262,matrix-vector
512,644580000,0.0008124,matrix-vector
1024,649160000,0.003229,matrix-vector
2048,758520000,0.0111186,matrix-vector
4096,757780000,0.0445144,matrix-vector
64,320260000,0.0000004,dot-product
128,455020000,0.0000004,dot-product
256,534140000,0.000001,dot-product
512,621540000,0.000002,dot-product
1024,642140000,0.000003,dot-product
2048,460800000,0.0000108,dot-product
4096,452060000,0.000024,dot-product